main_pack,sub_pack,stage,Index,currentEnd,Actuals,Forecast,Baseline,CumulativeBaseline_Final,fees,CumulativeForecast_Final,CumulativeActuals_Final
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,145,1/09/2026,,8571.4286,9714.2857,1713066.239,Fee Items,1705320.542,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,142,1/09/2026,,3600,0,1713066.239,Fee Items,1708920.542,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,102,1/09/2026,,97699.115,97699.115,1810765.354,Non-Fee Items,1806619.657,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,144,1/09/2026,,0,25928.5714,1836693.926,Fee Items,1806619.657,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,72,1/09/2026,,63380.2817,80281.6901,1916975.616,Non-Fee Items,1869999.939,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,101,1/09/2026,,14973.4513,14973.4513,1931949.067,Fee Items,1884973.39,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/09/2026,,550.4587,550.4587,1932499.526,Non-Fee Items,1885523.849,512015.53
00_Programme Management,Actual,LS,48,1/09/2026,,13789.7503,13789.7503,1946289.276,Fee Items,1899313.599,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,71,1/09/2026,,16901.4085,16901.4085,1963190.684,Fee Items,1916215.008,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,121,1/09/2026,,17772.5118,17772.5118,1980963.196,Fee Items,1933987.519,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,110,1/09/2026,,6428.5714,6428.5714,1987391.768,Non-Fee Items,1940416.091,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,122,1/09/2026,,334265.4028,334265.4028,2321657.17,Non-Fee Items,2274681.494,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,132,1/09/2026,,3095.0226,2459.7285,2324116.899,Fee Items,2277776.516,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,88,1/09/2026,,6190.4762,6190.4762,2330307.375,Non-Fee Items,2283966.992,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,133,1/09/2026,,57013.5747,57013.5747,2387320.95,Non-Fee Items,2340980.567,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,121,1/10/2026,,18364.9289,18364.9289,2405685.879,Fee Items,2359345.496,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,110,1/10/2026,,1071.4286,1071.4286,2406757.307,Non-Fee Items,2360416.925,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,72,1/10/2026,,65492.9577,82957.7465,2489715.054,Non-Fee Items,2425909.882,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,142,1/10/2026,,3720,0,2489715.054,Fee Items,2429629.882,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,122,1/10/2026,,345407.5829,345407.5829,2835122.637,Non-Fee Items,2775037.465,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/10/2026,,568.8073,568.8073,2835691.444,Non-Fee Items,2775606.272,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,112,1/10/2026,,127067.6692,127067.6692,2962759.113,Non-Fee Items,2902673.942,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,71,1/10/2026,,17464.7887,17464.7887,2980223.902,Fee Items,2920138.73,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,132,1/10/2026,,10660.6335,8472.3982,2988696.3,Fee Items,2930799.364,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,136,1/10/2026,,4473.6842,8947.3684,2997643.669,Non-Fee Items,2935273.048,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,111,1/10/2026,,12843.609,12843.609,3010487.278,Fee Items,2948116.657,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,145,1/10/2026,,21428.5714,24285.7143,3034772.992,Fee Items,2969545.228,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,89,1/10/2026,,20371.4286,20371.4286,3055144.42,Fee Items,2989916.657,512015.53
00_Programme Management,Actual,LS,48,1/10/2026,,14249.4087,14249.4087,3069393.829,Fee Items,3004166.066,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,102,1/10/2026,,100955.7522,100955.7522,3170349.581,Non-Fee Items,3105121.818,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,133,1/10/2026,,196380.0905,196380.0905,3366729.672,Non-Fee Items,3301501.908,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,90,1/10/2026,,103333.3333,103333.3333,3470063.005,Non-Fee Items,3404835.242,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,101,1/10/2026,,15472.5664,15472.5664,3485535.572,Fee Items,3420307.808,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,133,1/11/2026,,190045.2489,190045.2489,3675580.82,Non-Fee Items,3610353.057,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/11/2026,,550.4587,550.4587,3676131.279,Non-Fee Items,3610903.516,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,121,1/11/2026,,17772.5118,17772.5118,3693903.791,Fee Items,3628676.028,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,89,1/11/2026,,19714.2857,19714.2857,3713618.077,Fee Items,3648390.313,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,132,1/11/2026,,10316.7421,8199.095,3721817.172,Fee Items,3658707.055,512015.53
00_Programme Management,Actual,LS,48,1/11/2026,,13789.7503,13789.7503,3735606.922,Fee Items,3672496.806,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,111,1/11/2026,,14819.5489,14819.5489,3750426.471,Fee Items,3687316.355,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,90,1/11/2026,,100000,100000,3850426.471,Non-Fee Items,3787316.355,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,71,1/11/2026,,1690.1408,1690.1408,3852116.612,Fee Items,3789006.495,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,122,1/11/2026,,334265.4028,334265.4028,4186382.014,Non-Fee Items,4123271.898,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,112,1/11/2026,,146616.5414,146616.5414,4332998.556,Non-Fee Items,4269888.44,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,72,1/11/2026,,6338.0282,8028.169,4341026.725,Non-Fee Items,4276226.468,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,101,1/11/2026,,998.2301,998.2301,4342024.955,Fee Items,4277224.698,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/11/2026,,489.1304,489.1304,4342514.085,Non-Fee Items,4277713.828,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,136,1/11/2026,,7894.7368,15789.4737,4358303.559,Non-Fee Items,4285608.565,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/11/2026,,509.0909,509.0909,4358812.65,Non-Fee Items,4286117.656,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,142,1/11/2026,,3600,0,4358812.65,Fee Items,4289717.656,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,102,1/11/2026,,6513.2743,6513.2743,4365325.924,Non-Fee Items,4296230.93,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,90,1/12/2026,,103333.3333,103333.3333,4468659.258,Non-Fee Items,4399564.264,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,142,1/12/2026,,3720,0,4468659.258,Fee Items,4403284.264,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,89,1/12/2026,,20371.4286,20371.4286,4489030.686,Fee Items,4423655.692,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,121,1/12/2026,,18364.9289,18364.9289,4507395.615,Fee Items,4442020.621,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,133,1/12/2026,,196380.0905,196380.0905,4703775.706,Non-Fee Items,4638400.712,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,122,1/12/2026,,345407.5829,345407.5829,5049183.288,Non-Fee Items,4983808.294,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/12/2026,,568.8073,568.8073,5049752.096,Non-Fee Items,4984377.102,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/12/2026,,563.6364,563.6364,5050315.732,Non-Fee Items,4984940.738,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,132,1/12/2026,,10660.6335,8472.3982,5058788.13,Fee Items,4995601.372,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,137,1/12/2026,,12478.2609,4565.2174,5063353.348,Fee Items,5008079.633,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,111,1/12/2026,,15313.5338,15313.5338,5078666.882,Fee Items,5023393.166,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/12/2026,,561.5942,561.5942,5079228.476,Non-Fee Items,5023954.761,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,138,1/12/2026,,60869.5652,60869.5652,5140098.041,Non-Fee Items,5084824.326,512015.53
00_Programme Management,Actual,LS,48,1/12/2026,,14249.4087,14249.4087,5154347.45,Fee Items,5099073.734,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,136,1/12/2026,,2631.5789,5263.1579,5159610.608,Non-Fee Items,5101705.313,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,112,1/12/2026,,151503.7594,151503.7594,5311114.367,Non-Fee Items,5253209.073,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/01/2027,,329.0676,329.0676,5311443.435,Non-Fee Items,5253538.14,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,90,1/01/2027,,43333.3333,43333.3333,5354776.768,Non-Fee Items,5296871.474,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,142,1/01/2027,,3720,0,5354776.768,Fee Items,5300591.474,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/01/2027,,568.8073,568.8073,5355345.575,Non-Fee Items,5301160.281,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,132,1/01/2027,,10660.6335,8472.3982,5363817.973,Fee Items,5311820.914,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,89,1/01/2027,,8542.8571,8542.8571,5372360.83,Fee Items,5320363.772,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,137,1/01/2027,,18420.2899,6739.1304,5379099.961,Fee Items,5338784.061,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,138,1/01/2027,,89855.0725,89855.0725,5468955.033,Non-Fee Items,5428639.134,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,112,1/01/2027,,151503.7594,151503.7594,5620458.793,Non-Fee Items,5580142.893,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,133,1/01/2027,,196380.0905,196380.0905,5816838.883,Non-Fee Items,5776522.984,512015.53
00_Programme Management,Actual,LS,48,1/01/2027,,14249.4087,14249.4087,5831088.292,Fee Items,5790772.393,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/01/2027,,563.6364,563.6364,5831651.928,Non-Fee Items,5791336.029,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,111,1/01/2027,,15313.5338,15313.5338,5846965.462,Fee Items,5806649.563,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/01/2027,,561.5942,561.5942,5847527.056,Non-Fee Items,5807211.157,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,121,1/01/2027,,18364.9289,18364.9289,5865891.985,Fee Items,5825576.086,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,122,1/01/2027,,345407.5829,345407.5829,6211299.568,Non-Fee Items,6170983.669,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,138,1/02/2027,,49275.3623,49275.3623,6260574.93,Non-Fee Items,6220259.031,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,121,1/02/2027,,16587.6777,16587.6777,6277162.608,Fee Items,6236846.709,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,133,1/02/2027,,177375.5656,177375.5656,6454538.174,Non-Fee Items,6414222.274,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,132,1/02/2027,,9628.9593,7652.4887,6462190.662,Fee Items,6423851.234,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,139,1/02/2027,,31884.058,31884.058,6494074.72,Non-Fee Items,6455735.292,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,137,1/02/2027,,16637.6812,6086.9565,6500161.677,Fee Items,6472372.973,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,122,1/02/2027,,311981.0427,311981.0427,6812142.72,Non-Fee Items,6784354.016,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,142,1/02/2027,,1080,0,6812142.72,Fee Items,6785434.016,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,143,1/02/2027,,0,6966.6667,6819109.386,Fee Items,6785434.016,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,146,1/02/2027,,0,34001,6853110.386,Fee Items,6785434.016,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,112,1/02/2027,,73308.2707,73308.2707,6926418.657,Non-Fee Items,6858742.286,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/02/2027,,511.883,511.883,6926930.54,Non-Fee Items,6859254.169,512015.53
00_Programme Management,Actual,LS,48,1/02/2027,,12870.4336,12870.4336,6939800.974,Fee Items,6872124.603,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/02/2027,,513.7615,513.7615,6940314.735,Non-Fee Items,6872638.364,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/02/2027,,507.2464,507.2464,6940821.982,Non-Fee Items,6873145.611,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/02/2027,,237.2263,237.2263,6941059.208,Non-Fee Items,6873382.837,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,111,1/02/2027,,7409.7744,7409.7744,6948468.982,Fee Items,6880792.611,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/02/2027,,509.0909,509.0909,6948978.073,Non-Fee Items,6881301.702,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/03/2027,,566.7276,566.7276,6949544.801,Non-Fee Items,6881868.43,512015.53
00_Programme Management,Actual,LS,48,1/03/2027,,14249.4087,14249.4087,6963794.209,Fee Items,6896117.839,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,132,1/03/2027,,10660.6335,8472.3982,6972266.608,Fee Items,6906778.472,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/03/2027,,36.8324,36.8324,6972303.44,Non-Fee Items,6906815.305,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,122,1/03/2027,,278554.5024,278554.5024,7250857.942,Non-Fee Items,7185369.807,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,137,1/03/2027,,18420.2899,6739.1304,7257597.073,Fee Items,7203790.097,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,139,1/03/2027,,89855.0725,89855.0725,7347452.145,Non-Fee Items,7293645.169,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/03/2027,,561.5942,561.5942,7348013.74,Non-Fee Items,7294206.764,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,121,1/03/2027,,14810.4265,14810.4265,7362824.166,Fee Items,7309017.19,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/03/2027,,568.8073,568.8073,7363392.973,Non-Fee Items,7309585.997,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,143,1/03/2027,,0,11366.6667,7374759.64,Fee Items,7309585.997,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/03/2027,,565.6934,565.6934,7375325.333,Non-Fee Items,7310151.691,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/03/2027,,563.6364,563.6364,7375888.97,Non-Fee Items,7310715.327,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,133,1/03/2027,,196380.0905,196380.0905,7572269.06,Non-Fee Items,7507095.418,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,132,1/04/2027,,10316.7421,8199.095,7580468.155,Fee Items,7517412.16,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/04/2027,,545.4545,545.4545,7581013.61,Non-Fee Items,7517957.614,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/04/2027,,550.4587,550.4587,7581564.069,Non-Fee Items,7518508.073,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/04/2027,,547.4453,547.4453,7582111.514,Non-Fee Items,7519055.518,512015.53
00_Programme Management,Actual,LS,48,1/04/2027,,13789.7503,13789.7503,7595901.264,Fee Items,7532845.269,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/04/2027,,548.4461,548.4461,7596449.71,Non-Fee Items,7533393.715,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/04/2027,,552.4862,552.4862,7597002.196,Non-Fee Items,7533946.201,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,137,1/04/2027,,16043.4783,5869.5652,7602871.762,Fee Items,7549989.679,512015.53
2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,2010 Wayfinding - Active Travel Wayfinding - Wakatipu and Wanaka,Construction,139,1/04/2027,,78260.8696,78260.8696,7681132.631,Non-Fee Items,7628250.549,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/04/2027,,543.4783,543.4783,7681676.11,Non-Fee Items,7628794.027,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,143,1/04/2027,,0,11000,7692676.11,Fee Items,7628794.027,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,133,1/04/2027,,190045.2489,190045.2489,7882721.358,Non-Fee Items,7818839.276,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/05/2027,,566.7276,566.7276,7883288.086,Non-Fee Items,7819406.004,512015.53
00_Programme Management,Actual,LS,48,1/05/2027,,14249.4087,14249.4087,7897537.495,Fee Items,7833655.412,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/05/2027,,563.6364,563.6364,7898101.131,Non-Fee Items,7834219.049,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/05/2027,,561.5942,561.5942,7898662.725,Non-Fee Items,7834780.643,512015.53
2008 Fernhill Int - concept feasibility traffic assessment,2008 Fernhill Int - concept feasibility traffic assessment,Concept / Scoping,143,1/05/2027,,0,3666.6667,7902329.392,Fee Items,7834780.643,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/05/2027,,534.07,534.07,7902863.462,Non-Fee Items,7835314.713,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/05/2027,,568.8073,568.8073,7903432.269,Non-Fee Items,7835883.52,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/05/2027,,570.9024,570.9024,7904003.172,Non-Fee Items,7836454.423,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/05/2027,,565.6934,565.6934,7904568.865,Non-Fee Items,7837020.116,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/06/2027,,550.4587,550.4587,7905119.324,Non-Fee Items,7837570.575,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/06/2027,,547.4453,547.4453,7905666.769,Non-Fee Items,7838118.02,512015.53
00_Programme Management,Actual,LS,48,1/06/2027,,13330.092,13330.092,7918996.861,Fee Items,7851448.112,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/06/2027,,543.4783,543.4783,7919540.339,Non-Fee Items,7851991.59,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/06/2027,,545.4545,545.4545,7920085.794,Non-Fee Items,7852537.045,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/06/2027,,552.4862,552.4862,7920638.28,Non-Fee Items,7853089.531,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/06/2027,,552.4862,552.4862,7921190.766,Non-Fee Items,7853642.017,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/06/2027,,548.4461,548.4461,7921739.212,Non-Fee Items,7854190.463,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/07/2027,,561.5942,561.5942,7922300.807,Non-Fee Items,7854752.057,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/07/2027,,570.9024,570.9024,7922871.709,Non-Fee Items,7855322.96,512015.53
2004 Arthurs Point - traffic calming,2004 Arthurs Point - traffic calming,Construction,91,1/07/2027,,566.7276,566.7276,7923438.437,Non-Fee Items,7855889.687,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/07/2027,,568.8073,568.8073,7924007.244,Non-Fee Items,7856458.495,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/07/2027,,565.6934,565.6934,7924572.937,Non-Fee Items,7857024.188,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/07/2027,,563.6364,563.6364,7925136.574,Non-Fee Items,7857587.825,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/07/2027,,570.9024,570.9024,7925707.476,Non-Fee Items,7858158.727,512015.53
2011 Golf Course RBT,2011 Golf Course RBT,Construction,123,1/08/2027,,570.9024,570.9024,7926278.379,Non-Fee Items,7858729.629,512015.53
2009 Brunswick Int - Upgrade,2009 Brunswick Int - Upgrade,Construction,73,1/08/2027,,561.5942,561.5942,7926839.973,Non-Fee Items,7859291.224,512015.53
2006 RISU Signs - Rural Intersection Safety Upgrade,2006 RISU Signs - Rural Intersection Safety Upgrade,Construction,59,1/08/2027,,568.8073,568.8073,7927408.78,Non-Fee Items,7859860.031,512015.53
2002 Glenorchy TC - Township improvements,2002 Glenorchy TC - Township improvements,Construction,103,1/08/2027,,563.6364,563.6364,7927972.416,Non-Fee Items,7860423.667,512015.53
2005 Crown Range Passing Lanes,2005 Crown Range Passing Lanes,Construction,113,1/08/2027,,565.6934,565.6934,7928538.11,Non-Fee Items,7860989.361,512015.53
2003 Wanaka TC - CBD connectivity upgrades,2003 Wanaka TC - CBD connectivity upgrades,Construction,134,1/08/2027,,570.9024,570.9024,7929109.012,Non-Fee Items,7861560.263,512015.53
